 ,Area,X,Y,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
187,85,3260.112,3600.441,3255,3594,10,12,0.771,13.000,3258,3606,67.380,9.803,1.289,0.776,0.859
188,27,3012.833,3608.611,3010,3606,6,6,1.000,7.211,3010,3606,146.310,6.000,1.171,0.854,0.885
189,35,4921.957,3614.443,4918,3611,8,7,0.878,8.944,4918,3617,26.565,6.708,1.167,0.857,0.824
190,128,3244.555,3620.141,3237,3614,15,12,0.925,15.524,3237,3622,14.931,11.767,1.339,0.747,0.908
191,43,3938.709,3638.616,3934,3635,9,7,0.609,9.849,3934,3640,23.962,7.000,1.364,0.733,0.811
192,1963,2941.128,3671.365,2915,3644,52,57,0.718,65.803,2923,3700,53.653,43.085,1.571,0.637,0.931
193,9,2762.278,3680.833,2761,3679,3,4,1.000,4.472,2761,3683,63.435,3.000,1.185,0.844,0.857
194,9,1909.500,3698.500,1908,3697,3,3,1.000,4.243,1908,3697,135.000,3.000,1.000,1.000,1.000
195,17,3313.618,3705.500,3311,3703,5,5,0.985,5.831,3311,3704,149.036,4.919,1.173,0.853,0.829
196,4,3919.000,3724.000,3918,3723,2,2,1.000,2.828,3918,3723,135.000,2.000,1.000,1.000,1.000
197,86,2993.581,3729.302,2988,3724,12,10,0.901,12.530,2988,3732,28.610,10.000,1.197,0.835,0.882
198,443,872.739,3737.872,860,3726,25,23,0.838,26.249,864,3748,49.635,23.000,1.082,0.924,0.928
199,13,834.654,3760.962,832,3759,5,4,1.000,5.385,832,3760,158.199,4.000,1.416,0.706,0.812
200,21,976.881,3771.833,974,3770,6,4,0.971,6.708,974,3773,26.565,4.000,1.417,0.706,0.933
201,10,4955.100,3778.800,4953,3777,4,4,0.982,5.657,4953,3777,135.000,3.130,1.976,0.506,0.800
202,490,2764.063,3823.537,2751,3809,26,27,0.791,28.460,2759,3836,71.565,25.456,1.023,0.978,0.912
203,65,973.408,3823.700,968,3819,11,9,0.730,11.662,969,3827,30.964,8.974,1.242,0.805,0.823
204,4,818.000,3829.000,817,3828,2,2,1.000,2.828,817,3828,135.000,2.000,1.000,1.000,1.000
205,989,4940.823,3858.206,4923,3840,35,36,0.886,37.443,4931,3874,55.886,35.000,1.007,0.993,0.954
206,1029,4890.640,3887.064,4871,3869,39,36,0.746,40.162,4871,3882,161.114,36.000,1.055,0.948,0.932
207,26,5549.346,3888.385,5546,3884,8,9,0.269,10.000,5548,3893,53.130,8.000,1.043,0.959,0.495
208,32,5773.156,3908.594,5768,3904,10,8,0.296,11.314,5769,3904,135.000,7.566,1.787,0.559,0.492
209,7,2039.500,3921.500,2038,3920,3,3,1.000,4.243,2038,3920,135.000,2.828,1.596,0.626,0.875
210,13,1511.731,3944.577,1510,3942,4,5,0.922,5.385,1511,3942,111.801,4.000,1.326,0.754,0.788
211,32,4853.125,3955.281,4849,3952,8,6,0.820,8.602,4849,3953,144.462,6.000,1.278,0.782,0.821
212,8,3009.125,3957.500,3008,3955,2,5,0.740,5.099,3009,3955,101.310,2.000,2.232,0.448,0.889
213,43,5814.965,3975.291,5811,3972,8,7,0.927,8.602,5812,3972,144.462,7.000,1.055,0.948,0.887
214,35,2422.700,3997.129,2419,3994,8,6,0.644,8.944,2419,3995,153.435,6.000,1.538,0.650,0.824
215,24,1747.458,3998.000,1743,3995,8,6,0.635,10.000,1743,3995,143.130,4.800,2.587,0.387,0.716
216,7,2974.071,3999.214,2973,3997,2,4,0.943,4.472,2973,4001,63.435,2.000,1.936,0.517,0.933
217,22,4707.500,4001.091,4704,3998,7,5,0.681,7.616,4704,4000,156.801,5.000,1.672,0.598,0.786
218,65,2420.562,4009.377,2415,4004,11,10,0.740,12.806,2415,4006,141.340,8.485,1.718,0.582,0.788
219,162,3255.802,4023.105,3250,4014,12,19,0.738,19.235,3255,4014,98.973,12.000,1.592,0.628,0.878
220,16,3638.062,4023.688,3635,4021,6,5,0.772,6.708,3635,4025,26.565,4.025,1.846,0.542,0.762
221,5,4670.100,4023.700,4669,4022,2,3,1.000,3.606,4669,4025,56.310,2.000,1.553,0.644,0.909
222,6,6452.833,4025.667,6451,4024,3,4,0.686,5.000,6451,4024,126.870,2.496,2.519,0.397,0.706
